,bath,bed,furnished,price,size,street,where
321,1 bath,3 beds,0,"$1,999",,1070 Cypress Avenue #1,Bushwick
322,2 baths,2 beds,0,"$4,550",,1 N 4th Place #8D,Williamsburg
323,1 bath,2 beds,0,"$3,000",,99 Butler Street #3,
324,1 bath,2 beds,0,"$3,400","1,100 ft²",111 Montague Street #8A,Brooklyn Heights
325,1 bath,1 bed,0,"$2,475",550 ft²,944 Marcy Avenue #5A,Bedford-Stuyvesant
326,1 bath,1 bed,0,"$2,199",550 ft²,701 Franklin Avenue #1A,
327,1 bath,1 bed,0,"$2,275",550 ft²,944 Marcy Avenue #3A,Bedford-Stuyvesant
328,1.5 baths,3 beds,0,"$3,425",,102 Scholes Street #2F,Williamsburg
329,1.5 baths,1 bed,0,"$10,250","1,348 ft²",90 Furman Street #N806,Brooklyn Heights
330,1 bath,1 bed,0,"$2,200",900 ft²,559 Madison Street #3,
331,2 baths,3 beds,0,"$3,400",,191 Clermont Avenue #3,Fort Greene
332,1 bath,,0,"$1,525",,816 Ocean Avenue,
333,2 baths,1 bed,0,"$2,250",,177 Richards Street #GRDN,Red Hook
334,3 baths,5 beds,0,"$3,599",,200 Ellery Street #2,Bedford-Stuyvesant
335,1 bath,,0,"$1,695",,346A State Street #2R,
336,,1 bed,1,"$2,875",650 ft²,10 City Point #32N,
337,1 bath,3 beds,0,"$3,850",,773 Grand Street #2R,Williamsburg
338,1.5 baths,3 beds,0,"$3,000",,224 Schaeffer Street #1L,Bushwick
339,1 bath,2 beds,0,"$1,750",800 ft²,301 Arlington Avenue #1,
340,1 bath,1 bed,0,"$2,450",600 ft²,691 Union Street #4L,Park Slope
341,1 bath,1 bed,0,"$1,950",,287 Prospect Avenue #7G,Park Slope
342,1 bath,1 bed,0,"$2,650",,370 South 4th Street #503,Williamsburg
343,2 baths,3 beds,0,"$3,490",,97 Troutman Street #1L,Bushwick
344,1.5 baths,3 beds,0,"$2,700",,1091 Herkimer Street #2,
345,1 bath,3 beds,0,"$3,499",,1087 Flushing Avenue #220,
346,1 bath,3 beds,0,"$2,500","1,000 ft²",1355 Putnam Avenue #3L,Bushwick
347,1.5 baths,3 beds,0,"$3,999","1,100 ft²",776 Classon Avenue #1L,
